country,country_slug,category_cluster,page_slug,url,brand_count,active_count,lead_brands,status
United States,us,grocery dinner delivery | grocery dinner helper | grocery dinner helpers,best-grocery-dinner-delivery,/countries/us/best-grocery-dinner-delivery/,11,10,Hungryroot | Misfits Market | Primal Kitchen | Thrive Market | Diaspora Co.,generated
United States,us,heat and eat meals,best-heat-and-eat-meals,/countries/us/best-heat-and-eat-meals/,2,2,Kevin's Natural Foods | Kevin's Natural Foods Sides,generated
United States,us,fitness prepared meals | high protein meal prep | meal prep marketplace | high protein frozen meals | private chef meal prep,best-high-protein-meal-prep,/countries/us/best-high-protein-meal-prep/,40,38,Trifecta | FlexPro Meals | Real Good Foods | CookinGenie | Fuel Meals,generated
United States,us,kids and baby meals | kids meals | kids and toddler snacks,best-kids-meal-delivery,/countries/us/best-kids-meal-delivery/,8,7,Little Spoon | Nurture Life | Cerebelly | Once Upon a Farm | Serenity Kids,generated
United States,us,meal kit | plant-based meal kit | fast-prep meal kit | meal kit and prepared meals | shelf-stable meal kit | restaurant meal kits,best-meal-kits,/countries/us/best-meal-kits/,12,12,HelloFresh | Blue Apron | Gobble | Home Chef | Marley Spoon,generated
United States,us,meal starter kits,best-meal-starter-kits,/countries/us/best-meal-starter-kits/,5,5,Omsom | Bachan's | Brooklyn Delhi | Fly By Jing | Momofuku Goods,generated
United States,us,medically tailored meals,best-medically-tailored-meals,/countries/us/best-medically-tailored-meals/,3,3,Mom's Meals | Good Measure Meals | Homestyle Direct,generated
United States,us,organic prepared meals,best-organic-meal-kits,/countries/us/best-organic-meal-kits/,2,2,Primal Balance Nutrition | Primal Organic,generated
United States,us,premium plant-based prepared meals | premium prepared meals,best-premium-meal-kits,/countries/us/best-premium-meal-kits/,4,4,Sakara | Methodology | Munch Thyme | Westerly,generated
United States,us,prepared meals | paleo prepared meals | specialty prepared meals | plant-based prepared meals | smoothies and prepared foods | local chef prepared meals | restaurant prepared meals | ready-to-eat salads and bowls,best-prepared-meal-delivery,/countries/us/best-prepared-meal-delivery/,81,66,CookUnity | Factor | Clean Eatz Kitchen | Fresh Meal Plan | Gardencup,generated
United States,us,produce box,best-produce-box,/countries/us/best-produce-box/,3,3,Farm Fresh To You | Full Circle | Hungry Harvest,generated
United States,us,protein box,best-protein-box,/countries/us/best-protein-box/,6,6,ButcherBox | Crowd Cow | Good Chop | Northstar Bison | Porter Road,generated
United States,us,protein meal delivery,best-protein-meal-delivery,/countries/us/best-protein-meal-delivery/,1,0,Just Meats,generated
United States,us,seafood dinner delivery,best-seafood-meal-kits,/countries/us/best-seafood-meal-kits/,1,1,Fulton Fish Market,generated
United States,us,shelf-stable meals,best-shelf-stable-meals,/countries/us/best-shelf-stable-meals/,10,10,Huel Hot & Savory | A Dozen Cousins | Maya Kaimal | Proper Good | Tasty Bite,generated
United States,us,shelf-stable plant-based meals,best-shelf-stable-plant-based-meals,/countries/us/best-shelf-stable-plant-based-meals/,1,1,Loma Linda,generated
United States,us,smart oven meal delivery,best-smart-oven-meal-delivery,/countries/us/best-smart-oven-meal-delivery/,1,1,Tovala,generated
United States,us,smoothie and produce subscription,best-smoothie-and-produce-subscription,/countries/us/best-smoothie-and-produce-subscription/,1,1,Kencko,generated
United States,us,smoothie delivery,best-smoothie-delivery,/countries/us/best-smoothie-delivery/,1,0,SmoothieBox,generated
United States,us,snack and pantry box,best-snack-and-pantry-box,/countries/us/best-snack-and-pantry-box/,1,1,Truly Good Foods,generated
United States,us,budget meal kit,cheap-meal-delivery,/countries/us/cheap-meal-delivery/,2,2,Dinnerly | EveryPlate,generated
Vietnam,vietnam,high protein meal prep,best-high-protein-meal-prep,/countries/vietnam/best-high-protein-meal-prep/,1,1,Fuel Meals Vietnam,generated
